sub_county,total_population,male,female,households,conventional_households,group_quarters,land_area_sq_km,population_density
KENYA,47564296.0,23548056.0,24014716.0,12143913.0,12043016.0,100897.0,580895.0,82.0
MOMBASA,1208333.0,610257.0,598046.0,378422.0,376295.0,2127.0,220.0,5495.0
CHANGAMWE,131882.0,68761.0,63121.0,46614.0,46439.0,175.0,18.0,7457.0
JOMVU,163415.0,83002.0,80410.0,53472.0,53214.0,258.0,37.0,4432.0
KISAUNI,291930.0,146748.0,145176.0,88202.0,88159.0,43.0,88.0,3328.0
LIKONI,250358.0,126962.0,123392.0,81191.0,80002.0,1189.0,40.0,6187.0
MVITA,154171.0,75565.0,78601.0,38995.0,38710.0,285.0,15.0,10543.0
NYALI,216577.0,109219.0,107346.0,69948.0,69771.0,177.0,23.0,9610.0
KWALE,866820.0,425121.0,441681.0,173176.0,172802.0,374.0,8254.0,105.0
KINANGO,94220.0,45413.0,48806.0,16043.0,16041.0,2.0,1612.0,58.0
LUNGA LUNGA,198423.0,97174.0,101245.0,37366.0,37276.0,90.0,2765.0,72.0
MATUGA,194252.0,95831.0,98419.0,39231.0,39124.0,107.0,1034.0,188.0
MSAMBWENI,177690.0,89206.0,88480.0,45466.0,45374.0,92.0,412.0,432.0
SAMBURU,202235.0,97497.0,104731.0,35070.0,34987.0,83.0,2430.0,83.0
KILIFI,1453787.0,704089.0,749673.0,298472.0,297990.0,482.0,12553.0,116.0
CHONYI,62335.0,29527.0,32807.0,11421.0,11416.0,5.0,193.0,324.0
GANZE,143906.0,66921.0,76981.0,23258.0,23197.0,61.0,3218.0,45.0
KALOLENI,193682.0,92614.0,101063.0,36355.0,36344.0,11.0,706.0,274.0
KAUMA,22638.0,10965.0,11673.0,3479.0,3479.0,,181.0,125.0
KILIFI NORTH,178824.0,86986.0,91836.0,39512.0,39508.0,4.0,264.0,676.0
KILIFI SOUTH,206753.0,101852.0,104897.0,53074.0,53011.0,63.0,290.0,712.0
MAGARINI,191610.0,93302.0,98308.0,33017.0,32978.0,39.0,5229.0,37.0
MALINDI,333226.0,163351.0,169866.0,73547.0,73317.0,230.0,2263.0,147.0
RABAI,120813.0,58571.0,62242.0,24809.0,24740.0,69.0,208.0,581.0
TANA RIVER,315943.0,158550.0,157391.0,68242.0,66984.0,1258.0,37904.0,8.0
TANA DELTA,110640.0,55716.0,54924.0,22791.0,22395.0,396.0,15432.0,7.0
TANA NORTH,116757.0,59123.0,57632.0,26886.0,26119.0,767.0,13305.0,9.0
TANA RIVER,88546.0,43711.0,44835.0,18565.0,18470.0,95.0,9167.0,10.0
LAMU,143920.0,76103.0,67813.0,37963.0,34231.0,3732.0,6283.0,23.0
LAMU EAST,22258.0,11675.0,10583.0,5090.0,4476.0,614.0,2338.0,10.0
LAMU WEST,121662.0,64428.0,57230.0,32873.0,29755.0,3118.0,3945.0,31.0
TAITA/TAVETA,340671.0,173337.0,167327.0,96429.0,94468.0,1961.0,17152.0,20.0
MWATATE,81659.0,41426.0,40231.0,23698.0,23184.0,514.0,2723.0,30.0
TAITA,55959.0,28386.0,27573.0,15094.0,14985.0,109.0,478.0,117.0
TAVETA,91222.0,47410.0,43812.0,24115.0,23417.0,698.0,6399.0,14.0
VOI,111831.0,56115.0,55711.0,33522.0,32882.0,640.0,7553.0,15.0
GARISSA,841353.0,458975.0,382344.0,141394.0,138940.0,2454.0,44753.0,19.0
BALAMBALA,32257.0,20277.0,11979.0,4337.0,3986.0,351.0,3684.0,9.0
DADAAB,185252.0,99059.0,86185.0,35793.0,35169.0,624.0,6415.0,29.0
FAFI,134040.0,72617.0,61413.0,23671.0,23351.0,320.0,15050.0,9.0
GARISSA,163914.0,83460.0,80449.0,30518.0,29790.0,728.0,3318.0,49.0
HULUGHO,133984.0,78081.0,55898.0,20254.0,20078.0,176.0,7737.0,17.0
IJARA,141591.0,80458.0,61129.0,18481.0,18296.0,185.0,2453.0,58.0
LAGDERA,50315.0,25023.0,25291.0,8340.0,8270.0,70.0,6096.0,8.0
WAJIR,781263.0,415374.0,365840.0,127932.0,126878.0,1054.0,56774.0,14.0
BUNA,49886.0,26796.0,23088.0,6480.0,6480.0,,3888.0,13.0
ELDAS,89104.0,45028.0,44069.0,13961.0,13862.0,99.0,4492.0,20.0
HABASWEIN,174134.0,94613.0,79505.0,31292.0,31113.0,179.0,10912.0,16.0
TARBAJ,56637.0,26856.0,29776.0,9309.0,9241.0,68.0,9608.0,6.0
WAJIR EAST,110654.0,59359.0,51292.0,18674.0,18282.0,392.0,4053.0,27.0
WAJIR NORTH,62206.0,31990.0,30209.0,10490.0,10478.0,12.0,4042.0,15.0
WAJIR SOUTH,116814.0,64947.0,51864.0,21364.0,21149.0,215.0,10734.0,11.0
WAJIR WEST,121828.0,65785.0,56037.0,16362.0,16273.0,89.0,9044.0,13.0
MANDERA,867457.0,434976.0,432444.0,125763.0,123954.0,1809.0,25942.0,33.0
MANDERA WEST,98300.0,48166.0,50130.0,14274.0,14201.0,73.0,4018.0,24.0
BANISA,152598.0,78301.0,74288.0,24285.0,24000.0,285.0,3944.0,39.0
KOTULO,72394.0,35799.0,36593.0,9446.0,9342.0,104.0,2509.0,29.0
LAFEY,83457.0,40476.0,42976.0,11597.0,11380.0,217.0,3795.0,22.0
MANDERA CENTRAL,157220.0,71688.0,85527.0,21140.0,20795.0,345.0,4032.0,39.0
